[*] Đọc collection: C:\Users\Lenovo\Downloads\FileTaiLieuHK8\DoAnKySu\Web3-GiangVien\Document\Day13-06-2026\..\Day03-06-2026\PhoBERT_100Cases_Collection.json
[*] Tổng số test cases: 100
  [ 72/100] Ca 72 - 52-bao-cao-nckh-ung-dung-blockchain-trong-luu-tru-benh-an-di..... score= 7.00 | True Positive (TP)   |   11311ms
  [ 73/100] Ca 73 - 53-quan-ly-du-an-phat-trien-he-thong-nghe-nhac-truc-tuyen-mo..... score= 6.21 | False Positive (FP)  |   12119ms
  [ 74/100] Ca 74 - 54-de-tai-do-an-nt547-nghien-cuu-va-phat-trien-blockchain.pd..... score= 6.91 | True Positive (TP)   |   12837ms
  [ 75/100] Ca 75 - 55-khoa-luan-tot-nghiep-thiet-ke-he-thong-tuoi-tu-dong-trong..... score= 7.00 | True Positive (TP)   |   13085ms
  [ 76/100] Ca 76 - 56-do-an-tot-nghiep-he-thong-khoa-cua-thong-minh-ung-dung-ai..... score= 7.00 | True Positive (TP)   |   13096ms
  [ 77/100] Ca 77 - 57-do-an-tot-nghiep-thiet-ke-he-thong-giam-sat-nhip-tim-va-o..... score= 6.89 | True Positive (TP)   |   19068ms
  [ 78/100] Ca 78 - 58-19375691-final-exam-mang-cam-bien-khong-day-ung-dung.pdf...... score= 7.94 | False Positive (FP)  |   17226ms
  [ 79/100] Ca 79 - 59-tong-quan-ve-iot-trong-logistics-truong-dh-giao-thong-van..... score= 6.30 | False Positive (FP)  |   10709ms
  [ 80/100] Ca 80 - 60-nghien-cuu-he-thong-chieu-sang-thong-minh-tiet-kiem-nang-..... score= 7.64 | False Positive (FP)  |   12754ms
  [ 81/100] Ca 81 - 61-nghien-cuu-thiet-bi-da-nang-ho-tro-nguoi-khiem-thi-144897..... score= 6.33 | False Positive (FP)  |    7751ms
  [ 82/100] Ca 82 - 62-bao-cao-do-an-mon-phan-mem-quan-ly-gara-o-to-22521595.pdf..... score= 8.97 | True Positive (TP)   |   13865ms
  [ 83/100] Ca 83 - 63-khoa-luan-tot-nghiep-nang-cao-hieu-qua-su-dung-lao-dong-6..... score= 6.33 | False Positive (FP)  |   15843ms
